CountryName,Date,MonthlyChangeSA,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,rolling_mean_12,rolling_std_12,month,year,quarter,month_sin,month_cos
Egypt,2021-10-01,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1.3333333333333333,-0.3333333333333333,-3.6666666666666665,0.4444444444444445,0.19245008972987243,-0.38888888888888884,0.9756289519340082,-0.3055555555555555,1.6724646624482224,10,2021,4,-0.8660254037844386,0.5000000000000001
Egypt,2021-11-01,-3.3333333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1.6666666666666667,-1.6666666666666667,-0.8888888888888888,2.1169509870286283,-0.6666666666666665,1.5055453054181618,-0.4444444444444444,1.8550141350074507,11,2021,4,-0.5000000000000004,0.8660254037844384
Egypt,2021-12-01,-1.0,-3.3333333333333335,0.3333333333333333,0.3333333333333333,-0.6666666666666666,-2.0,-1.3333333333333333,1.8559214542766749,-0.722222222222222,1.5116828983570543,-0.3611111111111111,1.8004395273328375,12,2021,4,-2.4492935982947064e-16,1.0
Egypt,2022-01-01,0.3333333333333333,-1.0,-3.3333333333333335,0.3333333333333333,-1.3333333333333333,-2.3333333333333335,-1.3333333333333333,1.8559214542766749,-0.44444444444444425,1.5299479536052,-0.13888888888888887,1.6964510390654155,1,2022,1,0.49999999999999994,0.8660254037844387
Egypt,2022-02-01,0.6666666666666666,0.3333333333333333,-1.0,-3.3333333333333335,0.6666666666666666,3.3333333333333335,1.4802973661668753e-16,0.8819171036881961,-0.44444444444444425,1.5299479536052,-0.3611111111111111,1.3368010461684403,2,2022,1,0.8660254037844386,0.5000000000000001
Egypt,2022-03-01,14.0,0.6666666666666666,0.3333333333333333,-1.0,0.3333333333333333,1.6666666666666667,5.0,7.796010375684332,1.8333333333333333,6.141841924229427,0.6666666666666666,4.36005745490825,3,2022,1,1.0,6.123233995736766e-17
Egypt,2022-04-01,3.0,14.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.3333333333333333,5.888888888888888,7.120653320005383,2.2777777777777777,6.107978995331223,0.9444444444444445,4.396585758286347,4,2022,2,0.8660254037844387,-0.4999999999999998
Egypt,2022-05-01,9.333333333333334,3.0,14.0,0.6666666666666666,-3.3333333333333335,-1.6666666666666667,8.777777777777779,5.521003666135484,4.388888888888889,5.968125209688426,1.8611111111111114,4.918442582878999,5,2022,2,0.49999999999999994,-0.8660254037844387
Egypt,2022-06-01,9.333333333333334,9.333333333333334,3.0,14.0,-1.0,-0.6666666666666666,7.222222222222222,3.656551704867627,6.111111111111112,5.580388941708342,2.6944444444444446,5.284737569496822,6,2022,2,1.2246467991473532e-16,-1.0
Egypt,2022-07-01,1.6666666666666667,9.333333333333334,9.333333333333334,3.0,0.3333333333333333,-1.3333333333333333,6.777777777777779,4.426352063787129,6.333333333333333,5.324993479390896,2.944444444444444,5.146016078626404,7,2022,3,-0.4999999999999997,-0.8660254037844388
Egypt,2022-08-01,1.6666666666666667,1.6666666666666667,9.333333333333334,9.333333333333334,0.6666666666666666,0.6666666666666666,4.222222222222222,4.42635206378713,6.5,5.12401752100396,3.027777777777778,5.113772912505345,8,2022,3,-0.8660254037844385,-0.5000000000000004
Egypt,2022-09-01,-0.6666666666666666,1.6666666666666667,1.6666666666666667,9.333333333333334,14.0,0.3333333333333333,0.888888888888889,1.3471506281091248,4.055555555555556,4.255279944657861,2.944444444444444,5.169516972010608,9,2022,3,-1.0,-1.8369701987210297e-16
Egypt,2022-10-01,4.333333333333333,-0.6666666666666666,1.6666666666666667,1.6666666666666667,3.0,0.3333333333333333,1.7777777777777777,2.5018511664883767,4.277777777777778,4.223830103204998,3.277777777777778,5.114513579828404,10,2022,4,-0.8660254037844386,0.5000000000000001
Egypt,2022-11-01,4.333333333333333,4.333333333333333,-0.6666666666666666,1.6666666666666667,9.333333333333334,-3.3333333333333335,2.6666666666666665,2.886751345948127,3.4444444444444446,3.449100795322789,3.9166666666666674,4.6734258409553355,11,2022,4,-0.5000000000000004,0.8660254037844384
Egypt,2022-12-01,4.333333333333333,4.333333333333333,4.333333333333333,-0.6666666666666666,9.333333333333334,-1.0,4.333333333333333,0.0,2.611111111111111,2.070068884164288,4.361111111111111,4.409490071834008,12,2022,4,-2.4492935982947064e-16,1.0
